Num States Expanded:
L               UCS             A*1             A*2             ID              IDA*1           IDA*2
2               5.30            2.00            2.00            9.40            4.00            4.00
4               12.65           3.05            3.00            26.20           6.00            6.00
6               35.87           5.07            4.37            76.57           9.00            8.23
8               80.58           8.18            6.23            187.35          13.73           10.65
10              167.76          14.76           9.04            447.56          26.12           15.20
12              415.78          27.78           13.03           1265.15         53.23           22.28

Num States Generated:
L               UCS             A*1             A*2             ID              IDA*1           IDA*2
2               16.00           6.40            6.40            27.60           11.20           11.20
4               36.40           9.65            9.50            74.20           16.30           16.30
6               100.13          15.67           13.63           212.37          26.30           24.23
8               221.65          24.40           18.80           515.43          38.83           30.20
10              457.80          42.42           26.46           1223.82         71.72           41.46
12              1131.73         78.00           37.32           3453.90         145.83          60.80

Max States in Memory:
L               UCS             A*1             A*2             ID              IDA*1           IDA*2
2               11.70           5.40            5.40            3.00            3.00            3.00
4               24.75           7.60            7.50            4.00            4.00            4.00
6               63.83           11.60           10.27           5.00            5.00            5.00
8               136.73          17.10           13.48           6.00            6.00            6.00
10              276.90          28.52           18.34           7.00            7.00            7.00
12              674.92          50.45           25.12           8.00            8.00            8.00
